gamePk,gameDate,away_team,home_team,venue,away_runs,away_hits,away_errors,home_runs,home_hits,home_errors,winner_team,loser_team,game_duration
71001,1901-04-18,Brooklyn Superbas,Philadelphia Phillies,Baker Bowl,12.0,17.0,3.0,7.0,12.0,1.0,,,
71004,1901-04-19,Philadelphia Phillies,Brooklyn Superbas,Washington Park ,2.0,4.0,0.0,10.0,8.0,0.0,,,
71003,1901-04-19,New York Giants,Boston Beaneaters,South End Grounds,0.0,5.0,2.0,7.0,15.0,2.0,,,
71002,1901-04-19,Chicago Orphans,St. Louis Cardinals,Robison Field,8.0,18.0,2.0,7.0,14.0,0.0,,,
71006,1901-04-20,Pittsburgh Pirates,Cincinnati Reds,League Park,4.0,6.0,2.0,2.0,9.0,4.0,,,
71005,1901-04-20,Chicago Orphans,St. Louis Cardinals,Robison Field,9.0,15.0,4.0,11.0,10.0,0.0,,,
71007,1901-04-21,Chicago Orphans,St. Louis Cardinals,Robison Field,5.0,7.0,2.0,12.0,12.0,1.0,,,
71008,1901-04-22,Brooklyn Superbas,Philadelphia Phillies,Baker Bowl,3.0,6.0,2.0,9.0,11.0,3.0,,,
71009,1901-04-23,Boston Beaneaters,Philadelphia Phillies,Baker Bowl,3.0,9.0,2.0,5.0,8.0,1.0,,,
71010,1901-04-23,Pittsburgh Pirates,St. Louis Cardinals,Robison Field,4.0,8.0,5.0,10.0,10.0,2.0,,,
71011,1901-04-24,Chicago Orphans,Cincinnati Reds,League Park,9.0,12.0,5.0,10.0,14.0,0.0,,,
71013,1901-04-24,Pittsburgh Pirates,St. Louis Cardinals,Robison Field,5.0,11.0,2.0,4.0,10.0,2.0,,,
71012,1901-04-24,Cleveland Blues,Chicago White Sox,South Side Park ,2.0,7.0,1.0,8.0,8.0,1.0,,,
71015,1901-04-25,Milwaukee Brewers,Detroit Tigers,Bennett Park,13.0,16.0,4.0,14.0,19.0,7.0,,,
71014,1901-04-25,Cleveland Blues,Chicago White Sox,South Side Park ,3.0,5.0,2.0,7.0,9.0,2.0,,,
71017,1901-04-26,Brooklyn Superbas,New York Giants,Polo Grounds III,3.0,4.0,2.0,5.0,6.0,3.0,,,
71021,1901-04-26,Washington Senators,Philadelphia Athletics,Columbia Park,5.0,8.0,1.0,1.0,7.0,6.0,,,
71018,1901-04-26,Boston Beaneaters,Philadelphia Phillies,Baker Bowl,4.0,8.0,4.0,3.0,6.0,4.0,,,
71016,1901-04-26,Boston Americans,Baltimore Orioles,Oriole Park,6.0,8.0,1.0,10.0,11.0,3.0,,,
71020,1901-04-26,Milwaukee Brewers,Detroit Tigers,Bennett Park,5.0,7.0,4.0,6.0,12.0,3.0,,,
71019,1901-04-26,Cincinnati Reds,Chicago Orphans,West Side Park,8.0,12.0,3.0,7.0,8.0,1.0,,,
71028,1901-04-27,St. Louis Cardinals,Pittsburgh Pirates,Exposition Park,7.0,12.0,1.0,2.0,11.0,2.0,,,
71029,1901-04-27,Washington Senators,Philadelphia Athletics,Columbia Park,11.0,19.0,2.0,5.0,11.0,4.0,,,
71027,1901-04-27,New York Giants,Philadelphia Phillies,Baker Bowl,1.0,12.0,4.0,5.0,8.0,2.0,,,
71023,1901-04-27,Boston Beaneaters,Brooklyn Superbas,Washington Park ,3.0,8.0,6.0,6.0,10.0,1.0,,,
71022,1901-04-27,Boston Americans,Baltimore Orioles,Oriole Park,6.0,11.0,2.0,12.0,11.0,4.0,,,
71026,1901-04-27,Milwaukee Brewers,Detroit Tigers,Bennett Park,9.0,12.0,3.0,13.0,15.0,5.0,,,
71024,1901-04-27,Cincinnati Reds,Chicago Orphans,West Side Park,9.0,14.0,1.0,2.0,6.0,3.0,,,
71025,1901-04-27,Cleveland Blues,Chicago White Sox,South Side Park ,10.0,10.0,2.0,4.0,10.0,4.0,,,
71032,1901-04-28,Milwaukee Brewers,Detroit Tigers,Burns Park,11.0,16.0,4.0,12.0,15.0,4.0,,,
71030,1901-04-28,Cincinnati Reds,Chicago Orphans,West Side Park,6.0,11.0,1.0,4.0,10.0,1.0,,,
71031,1901-04-28,Cleveland Blues,Chicago White Sox,South Side Park ,1.0,7.0,1.0,13.0,23.0,3.0,,,
71038,1901-04-29,Milwaukee Brewers,Cleveland Blues,League Park (1901-09),3.0,8.0,3.0,4.0,9.0,5.0,,,
71034,1901-04-29,Boston Americans,Philadelphia Athletics,Columbia Park,5.0,13.0,3.0,8.0,13.0,3.0,,,
71040,1901-04-29,St. Louis Cardinals,Pittsburgh Pirates,Exposition Park,12.0,16.0,3.0,14.0,14.0,7.0,,,
71039,1901-04-29,New York Giants,Philadelphia Phillies,Baker Bowl,13.0,15.0,3.0,14.0,17.0,8.0,,,
71035,1901-04-29,Boston Beaneaters,Brooklyn Superbas,Washington Park ,12.0,8.0,8.0,8.0,10.0,7.0,,,
71033,1901-04-29,Baltimore Orioles,Washington Senators,League Park (1901-03),2.0,6.0,3.0,5.0,9.0,3.0,,,
71036,1901-04-29,Cincinnati Reds,Chicago Orphans,West Side Park,6.0,11.0,2.0,9.0,7.0,3.0,,,
71037,1901-04-29,Detroit Tigers,Chicago White Sox,South Side Park ,3.0,5.0,2.0,2.0,8.0,2.0,,,
71046,1901-04-30,Milwaukee Brewers,Cleveland Blues,League Park (1901-09),8.0,9.0,1.0,6.0,16.0,1.0,,,
71042,1901-04-30,Boston Americans,Philadelphia Athletics,Columbia Park,8.0,15.0,3.0,6.0,13.0,2.0,,,
71048,1901-04-30,St. Louis Cardinals,Pittsburgh Pirates,Exposition Park,4.0,9.0,3.0,2.0,8.0,2.0,,,
71047,1901-04-30,New York Giants,Philadelphia Phillies,Baker Bowl,3.0,9.0,2.0,2.0,3.0,0.0,,,
71043,1901-04-30,Boston Beaneaters,Brooklyn Superbas,Washington Park ,1.0,5.0,4.0,2.0,5.0,0.0,,,
71041,1901-04-30,Baltimore Orioles,Washington Senators,League Park (1901-03),6.0,11.0,7.0,12.0,6.0,6.0,,,
71044,1901-04-30,Cincinnati Reds,Chicago Orphans,West Side Park,7.0,10.0,4.0,8.0,13.0,3.0,,,
71045,1901-04-30,Detroit Tigers,Chicago White Sox,South Side Park ,2.0,6.0,2.0,4.0,9.0,3.0,,,
71054,1901-05-01,Milwaukee Brewers,Cleveland Blues,League Park (1901-09),3.0,6.0,2.0,6.0,11.0,1.0,,,
71050,1901-05-01,Boston Americans,Philadelphia Athletics,Columbia Park,1.0,6.0,4.0,14.0,20.0,4.0,,,
71051,1901-05-01,Chicago Orphans,Pittsburgh Pirates,Exposition Park,8.0,10.0,2.0,3.0,7.0,4.0,,,
71055,1901-05-01,New York Giants,Philadelphia Phillies,Baker Bowl,1.0,9.0,2.0,6.0,9.0,2.0,,,
71049,1901-05-01,Baltimore Orioles,Washington Senators,League Park (1901-03),6.0,5.0,3.0,4.0,9.0,5.0,,,
71052,1901-05-01,Cincinnati Reds,St. Louis Cardinals,Robison Field,7.0,9.0,1.0,3.0,5.0,3.0,,,
71053,1901-05-01,Detroit Tigers,Chicago White Sox,South Side Park ,9.0,14.0,10.0,19.0,16.0,4.0,,,
71061,1901-05-02,Milwaukee Brewers,Cleveland Blues,League Park (1901-09),9.0,16.0,1.0,7.0,12.0,1.0,,,
71057,1901-05-02,Boston Americans,Philadelphia Athletics,Columbia Park,23.0,21.0,4.0,12.0,19.0,3.0,,,
71058,1901-05-02,Chicago Orphans,Pittsburgh Pirates,Exposition Park,2.0,10.0,1.0,3.0,11.0,3.0,,,
71062,1901-05-02,Philadelphia Phillies,Brooklyn Superbas,Washington Park ,4.0,9.0,3.0,5.0,8.0,6.0,,,
71056,1901-05-02,Baltimore Orioles,Washington Senators,League Park (1901-03),11.0,14.0,2.0,4.0,12.0,3.0,,,
71059,1901-05-02,Cincinnati Reds,St. Louis Cardinals,Robison Field,16.0,18.0,2.0,12.0,17.0,4.0,,,
71060,1901-05-02,Detroit Tigers,Chicago White Sox,South Side Park ,7.0,7.0,6.0,5.0,5.0,5.0,,,
71066,1901-05-03,Chicago Orphans,Pittsburgh Pirates,Exposition Park,6.0,12.0,2.0,10.0,13.0,3.0,,,
71064,1901-05-03,Boston Americans,Washington Senators,League Park (1901-03),4.0,8.0,0.0,9.0,8.0,5.0,,,
71069,1901-05-03,Philadelphia Phillies,Brooklyn Superbas,Washington Park ,1.0,8.0,3.0,5.0,9.0,1.0,,,
71068,1901-05-03,New York Giants,Boston Beaneaters,South End Grounds,2.0,8.0,1.0,1.0,3.0,1.0,,,
71063,1901-05-03,Baltimore Orioles,Philadelphia Athletics,Columbia Park,4.0,8.0,3.0,9.0,12.0,2.0,,,
71067,1901-05-03,Cleveland Blues,Detroit Tigers,Bennett Park,3.0,8.0,1.0,6.0,8.0,3.0,,,
71065,1901-05-03,Chicago White Sox,Milwaukee Brewers,Lloyd Street Grounds,11.0,14.0,1.0,3.0,6.0,7.0,,,
71073,1901-05-04,Chicago Orphans,Pittsburgh Pirates,Exposition Park,4.0,11.0,4.0,2.0,6.0,3.0,,,
71071,1901-05-04,Boston Americans,Washington Senators,League Park (1901-03),10.0,15.0,2.0,2.0,8.0,4.0,,,
71077,1901-05-04,Philadelphia Phillies,Brooklyn Superbas,Washington Park ,8.0,7.0,1.0,4.0,4.0,6.0,,,
71076,1901-05-04,New York Giants,Boston Beaneaters,South End Grounds,3.0,10.0,4.0,6.0,12.0,1.0,,,
71070,1901-05-04,Baltimore Orioles,Philadelphia Athletics,Columbia Park,11.0,14.0,2.0,7.0,11.0,2.0,,,
71075,1901-05-04,Cleveland Blues,Detroit Tigers,Bennett Park,11.0,13.0,4.0,4.0,7.0,4.0,,,
71074,1901-05-04,Cincinnati Reds,St. Louis Cardinals,Robison Field,4.0,8.0,4.0,4.0,11.0,1.0,,,
71072,1901-05-04,Chicago White Sox,Milwaukee Brewers,Lloyd Street Grounds,11.0,10.0,2.0,3.0,12.0,9.0,,,
71080,1901-05-05,Cleveland Blues,Detroit Tigers,Burns Park,3.0,8.0,1.0,10.0,14.0,0.0,,,
71081,1901-05-05,Pittsburgh Pirates,Chicago Orphans,West Side Park,4.0,8.0,1.0,2.0,9.0,4.0,,,
71079,1901-05-05,Cincinnati Reds,St. Louis Cardinals,Robison Field,7.0,10.0,4.0,5.0,11.0,1.0,,,
